,0,1,2,3,4
,M,P,R,LOSS,ACC
92,2,6,0.01,0.027352941,0.804731458
93,2,6,0.05,0.027352941,0.804731458
94,2,6,0.1,0.02243393,0.880392157
95,2,6,0.2,0.021820119,0.912617221
96,2,6,0.3,0.020656436,0.924254049
97,2,6,0.4,0.017446718,0.956351236
98,2,10,0.002,0.063286445,0.36713555
99,2,10,0.01,0.045038363,0.627877238
100,2,10,0.05,0.02415601,0.862787724
101,2,10,0.1,0.027058824,0.886317136
102,2,10,0.2,0.027028986,0.912702472
103,2,10,0.3,0.02615942,0.921398124
104,2,10,0.4,0.022953964,0.953452685
105,2,12,0.002,0.063286445,0.36713555
106,2,12,0.01,0.02529838,0.773103154
107,2,12,0.05,0.023849105,0.865856777
108,2,12,0.1,0.02587809,0.871653879
109,2,12,0.2,0.023512361,0.921398124
110,2,12,0.3,0.021184996,0.944671782
111,2,12,0.4,0.018554987,0.970971867
112,2,15,0.002,0.063286445,0.36713555
113,2,15,0.01,0.04202046,0.684143223
114,2,15,0.05,0.022097187,0.883375959
115,2,15,0.1,0.023533674,0.895098039
116,2,15,0.2,0.023512361,0.921398124
117,2,15,0.3,0.021764706,0.93887468
118,2,15,0.4,0.019722933,0.959292413
119,2,20,0.002,0.063286445,0.36713555
120,2,20,0.01,0.055460358,0.523657289
121,2,20,0.05,0.022097187,0.883375959
122,2,20,0.1,0.021508951,0.889258312
123,2,20,0.2,0.024092072,0.915601023
124,2,20,0.3,0.021764706,0.93887468
125,2,20,0.4,0.019433078,0.962190963
126,3,0.5,0.002,0.063286445,0.36713555
127,3,0.5,0.01,0.039262575,0.685635124
128,3,0.5,0.05,0.02329497,0.897868713
129,3,0.5,0.1,0.02329497,0.897868713
130,3,0.5,0.2,0.021530264,0.915515772
131,3,0.5,0.3,0.020080989,0.930008525
132,3,0.5,0.4,0.021236147,0.944543905
133,3,1,0.002,0.063286445,0.36713555
134,3,1,0.01,0.056227621,0.437723785
135,3,1,0.05,0.027387042,0.857331628
136,3,1,0.1,0.023039216,0.900809889
137,3,1,0.2,0.02213555,0.935933504
138,3,1,0.3,0.02097613,0.947527707
139,3,1,0.4,0.019522592,0.962063086
140,3,2,0.002,0.063286445,0.36713555
141,3,2,0.01,0.054880648,0.451193521
142,3,2,0.05,0.02243393,0.880392157
143,3,2,0.1,0.021845695,0.88627451
144,3,2,0.2,0.021236147,0.918456948
145,3,2,0.3,0.020656436,0.924254049
146,3,2,0.4,0.019207161,0.938746803
147,3,4,0.002,0.063286445,0.36713555
148,3,4,0.01,0.056040068,0.517860188
149,3,4,0.05,0.019198636,0.88627451
150,3,4,0.1,0.021551577,0.889215686
151,3,4,0.2,0.021231884,0.918499574
152,3,4,0.3,0.020068201,0.930136402
153,3,4,0.4,0.017446718,0.956351236
154,3,6,0.002,0.063286445,0.36713555
155,3,6,0.01,0.027352941,0.804731458
156,3,6,0.05,0.027352941,0.804731458
157,3,6,0.1,0.02243393,0.880392157
158,3,6,0.2,0.021820119,0.912617221
159,3,6,0.3,0.020656436,0.924254049
160,3,6,0.4,0.017446718,0.956351236
161,3,10,0.002,0.063286445,0.36713555
162,3,10,0.01,0.045038363,0.627877238
163,3,10,0.05,0.02415601,0.862787724
164,3,10,0.1,0.027058824,0.886317136
165,3,10,0.2,0.027028986,0.912702472
166,3,10,0.3,0.02615942,0.921398124
167,3,10,0.4,0.022953964,0.953452685
168,3,12,0.002,0.063286445,0.36713555
169,3,12,0.01,0.02529838,0.773103154
170,3,12,0.05,0.023849105,0.865856777
171,3,12,0.1,0.02587809,0.871653879
172,3,12,0.2,0.023512361,0.921398124
173,3,12,0.3,0.021184996,0.944671782
174,3,12,0.4,0.018554987,0.970971867
175,3,15,0.002,0.063286445,0.36713555
176,3,15,0.01,0.04202046,0.684143223
177,3,15,0.05,0.022097187,0.883375959
178,3,15,0.1,0.023533674,0.895098039
179,3,15,0.2,0.023512361,0.921398124
180,3,15,0.3,0.021764706,0.93887468
181,3,15,0.4,0.019722933,0.959292413
182,3,20,0.002,0.063286445,0.36713555
183,3,20,0.01,0.055460358,0.523657289
184,3,20,0.05,0.022097187,0.883375959
185,3,20,0.1,0.021508951,0.889258312
186,3,20,0.2,0.024092072,0.915601023
187,3,20,0.3,0.021764706,0.93887468
188,3,20,0.4,0.019433078,0.962190963
189,5,0.5,0.002,0.063286445,0.36713555
190,5,0.5,0.01,0.039262575,0.685635124
191,5,0.5,0.05,0.02329497,0.897868713
192,5,0.5,0.1,0.02329497,0.897868713
193,5,0.5,0.2,0.021530264,0.915515772
194,5,0.5,0.3,0.025588235,0.927109974
195,5,0.5,0.4,0.032331628,0.938704177
196,5,1,0.002,0.063286445,0.36713555
197,5,1,0.01,0.056227621,0.437723785
198,5,1,0.05,0.027387042,0.857331628
199,5,1,0.1,0.023039216,0.900809889
200,5,1,0.2,0.02213555,0.935933504
201,5,1,0.3,0.026483376,0.944629156
202,5,1,0.4,0.025319693,0.956265985
203,5,2,0.002,0.063286445,0.36713555
204,5,2,0.01,0.054880648,0.451193521
205,5,2,0.05,0.02243393,0.880392157
206,5,2,0.1,0.021845695,0.88627451
207,5,2,0.2,0.021236147,0.918456948
208,5,2,0.3,0.022676897,0.930136402
209,5,2,0.4,0.021517477,0.941730605
210,5,4,0.002,0.063286445,0.36713555
211,5,4,0.01,0.056040068,0.517860188
212,5,4,0.05,0.019198636,0.88627451
213,5,4,0.1,0.021551577,0.889215686
214,5,4,0.2,0.021231884,0.918499574
215,5,4,0.3,0.020068201,0.930136402
216,5,4,0.4,0.018324808,0.947570332
217,5,6,0.002,0.063286445,0.36713555
218,5,6,0.01,0.027352941,0.804731458
219,5,6,0.05,0.027352941,0.804731458
220,5,6,0.1,0.02243393,0.880392157
221,5,6,0.2,0.021820119,0.912617221
222,5,6,0.3,0.020656436,0.924254049
223,5,6,0.4,0.018324808,0.947570332
224,5,10,0.002,0.063286445,0.36713555
225,5,10,0.01,0.045038363,0.627877238
226,5,10,0.05,0.02415601,0.862787724
227,5,10,0.1,0.027058824,0.886317136
228,5,10,0.2,0.027028986,0.912702472
